V1	V2
100689896	GO:0035556,GO:0005737,GO:0005634,GO:0016787,GO:0005509,GO:0007165,GO:0006629,GO:0008081,GO:0051726,GO:0016042,GO:0004435,GO:0007420
100689898	GO:0005576,GO:0016021,GO:0010951,GO:0004867,GO:0030414,GO:0010466,GO:0005515,GO:0004857,GO:0008191
100689899	GO:0005096,GO:0043547,GO:0005515
100689903	GO:0003723
100689906	
100689908	GO:0005576,GO:0046872,GO:0016787,GO:0052689,GO:0016042,GO:0006629,GO:0004465,GO:0008201,GO:0004806,GO:0005515
100689910	GO:0016020,GO:0016021,
100689911	GO:0006665,GO:0005576,GO:0005615,GO:0006629,GO:0005764,GO:0007193,GO:0019216
100689913	GO:0005515
100689914	GO:0030008,GO:0016192,GO:0005515,GO:0005794,GO:0005783,GO:0006888
100689915	,GO:0046872
100689916	GO:0000166,GO:0005524,GO:0005737,GO:0003676,GO:0004812,GO:0006418,GO:0006430,GO:0004824
